,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
KNOP1,1284,301,343,291,2066,1147,433,708,2338,1189,615,898,2315,1264,920,820
IQCK,109,28,43,43,141,106,32,47,128,95,39,63,165,123,75,82
GPRC5B,98,88,26,62,90,56,54,60,42,53,51,81,87,116,57,81
GPR139,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDILT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
ACSM5,6,2,0,14,4,0,2,16,6,2,2,2,8,0,16,173
ACSM2A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM3,62,68,75,97,165,514,146,273,260,309,317,328,419,487,505,542
ACSM1,9,8,12,10,7,88,24,78,4,64,26,117,35,61,35,77
THUMPD1,2730,1187,1296,1215,4250,5082,1708,3071,5399,4989,2232,4414,5917,6164,4442,5376
ERI2,182,76,118,105,282,166,123,157,432,277,207,314,523,286,489,397
REXO5,35,10,9,12,28,28,14,16,63,27,14,47,119,57,47,49
DCUN1D3,311,407,145,301,556,548,229,493,1686,826,599,1118,1007,982,878,1094
LYRM1,411,272,235,348,845,975,234,685,1289,1038,707,1523,1018,1130,888,1042
DNAH3,11,0,9,4,10,14,1,5,11,40,12,19,15,5,19,11
LDAF1,58,78,140,246,214,419,153,345,291,395,320,803,377,452,465,997
ZP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKS4B,0,0,0,0,8,0,0,0,0,0,0,1,2,6,2,2
CRYM,30,17,10,6,14,26,18,43,4,16,30,26,21,25,5,34
NPIPB3,177,91,85,38,125,229,63,151,267,558,237,306,188,334,232,217
METTL9,2572,1634,2112,1504,3571,4699,1991,2454,4945,4476,5232,5019,5153,5655,6655,4655
IGSF6,716,299,2230,1471,637,301,1792,1675,2544,797,4969,3840,2714,856,8520,7642
OTOA,12,0,32,8,12,8,16,12,8,4,8,26,16,4,77,50
NPIPB4,153,64,104,80,163,222,61,101,429,758,214,297,248,306,229,215
UQCRC2,4223,1395,1766,1528,6853,5283,1878,3106,9055,5186,3641,5595,8380,6701,6350,5350
PDZD9,0,0,0,0,0,0,0,4,3,4,2,0,0,10,1,3
MOSMO,446,223,301,251,555,909,317,552,706,814,495,629,564,948,634,615
VWA3A,6,4,5,3,20,44,8,21,16,23,15,7,23,24,28,22
SDR42E2,3,1,9,2,1,22,6,7,3,9,28,5,7,22,12,17
EEF2K,963,253,641,232,1519,1173,935,575,1948,1515,953,914,2017,1234,2173,970
POLR3E,2902,1228,1095,762,5027,5117,1486,2919,6465,5559,2279,3444,5644,5434,4269,3671
CDR2,1757,774,1032,711,3216,4598,1206,1779,4319,3532,1938,3262,4571,4017,3720,3176
CDR2-DT,0,0,2,5,1,4,2,0,3,5,0,4,4,4,9,2
NPIPB5,1588,594,857,523,1737,2086,837,1678,3319,4534,1046,2772,2142,2436,1683,2473
LINC02890,0,6,3,4,0,17,6,4,2,8,6,6,5,2,19,11
HS3ST2,72,18,170,50,34,10,70,24,27,6,10,8,30,4,329,50
USP31,667,185,245,197,969,654,283,298,1233,750,428,518,1234,711,776,517
SCNN1G,0,6,0,0,0,0,4,0,0,0,0,0,2,0,6,0
SCNN1B,0,0,4,0,0,0,0,0,0,1,0,2,0,2,4,10
COG7,693,240,393,342,1127,1239,433,592,1640,1523,765,1300,1626,1467,1399,1213
GGA2,3812,3522,4882,3115,5352,14007,4971,7365,6658,10725,6185,7875,9600,14963,17444,13519
EARS2,1027,247,237,222,2118,1043,340,727,2112,1058,496,1144,2924,1404,967,1057
UBFD1,2002,845,788,801,3224,2813,914,1810,4753,3426,1342,3348,4724,3788,2629,3204
NDUFAB1,1848,295,456,341,3416,1188,574,706,4382,1324,1186,1658,4247,1910,1751,1351
PALB2,811,295,304,197,1540,1202,356,696,1831,1018,461,958,2009,1336,1216,1056
DCTN5,2709,1170,1197,1109,4271,4142,1565,2274,6307,5101,2698,4753,5347,5080,4298,4051
PLK1,88,75,73,91,140,165,81,136,183,349,145,160,195,189,136,180
ERN2,12,0,0,0,5,0,6,3,1,8,0,0,2,2,0,5
CHP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCB,2899,1513,1888,1354,5478,6760,4522,3547,5245,5132,3372,3811,5577,5753,7279,5125
LINC02194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNG3,194,196,78,130,86,18,68,76,14,40,42,62,8,14,24,34
RBBP6,5869,2527,2296,2484,7608,8067,2744,6250,10346,9380,3560,8501,10603,9886,7408,9693
TNRC6A,3483,2265,2202,1509,4501,6713,2698,4080,6290,8721,3425,5299,6159,8098,6580,7269
LINC01567,0,1,0,1,0,0,0,0,2,1,1,1,0,0,0,0
SLC5A11,2,4,8,0,16,20,6,24,58,80,54,61,25,20,18,11
ARHGAP17,2680,1178,1885,2052,3772,6102,2029,5735,5494,6865,3086,8512,6181,6540,7387,12926
LINC02175,6,20,32,21,32,130,97,112,39,203,101,118,29,61,95,71
LCMT1-AS1,0,6,6,7,29,43,12,39,11,42,32,38,21,16,25,19
LCMT1,597,265,356,248,936,1003,362,588,1132,1012,726,1137,1248,1177,1210,1112
LCMT1-AS2,0,4,4,4,0,20,8,12,12,25,32,24,10,24,18,18
AQP8,0,0,0,0,2,9,0,4,3,0,2,0,4,6,8,10
ZKSCAN2,304,174,104,108,526,380,118,276,645,400,166,280,622,609,424,399
ZKSCAN2-DT,42,14,34,18,88,202,92,151,84,144,54,83,84,191,134,116
LINC02191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3ST4,20,30,4,14,18,10,10,14,2,2,4,0,0,6,4,2
LINC02195,0,0,0,0,6,11,4,1,0,6,5,5,0,5,2,0
C16orf82,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
LINC02129,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
KDM8,265,133,181,90,378,475,169,239,461,515,326,351,488,567,585,405
NSMCE1,1096,276,582,317,1906,1230,573,589,1923,1199,1099,936,2499,1488,1566,1013
NSMCE1-DT,57,1,7,0,159,8,2,10,287,26,11,9,129,8,16,7
IL4R,9995,2677,2459,1432,14608,8533,3100,3619,25770,11846,7887,8541,18523,13813,13272,9207
IL21R,3319,864,707,413,5371,3719,801,921,7340,4896,2507,2207,6761,6130,3062,2166
IL21R-AS1,1223,313,237,170,1803,1326,274,325,2482,1640,859,699,2460,2079,1093,757
GTF3C1,3412,1710,2093,1354,5101,7476,2430,3104,7520,7908,3837,5247,7197,7841,6766,5810
KATNIP,968,716,694,413,1392,2753,775,1638,1827,2538,1176,1707,1751,2646,2357,2483
GSG1L,22,12,2,12,0,0,2,8,6,3,6,10,0,6,0,4
XPO6,10647,4604,4137,4864,15480,16557,5167,12919,22690,19208,8296,20007,22094,20542,16395,24353
SBK1,1395,808,657,933,1231,2028,1052,4036,1340,2230,844,3620,2404,1993,1659,3893
NPIPB6,0,4,6,0,9,13,2,0,3,8,10,0,2,10,10,16
EIF3CL,8,7,0,18,26,14,15,0,16,6,0,6,32,13,8,9
NPIPB7,0,4,10,0,2,5,8,8,6,24,2,3,16,34,21,7
CLN3,1285,913,1548,1206,1685,3966,1572,2724,2618,3684,3183,3549,3201,2961,6008,5972
APOBR,1475,620,2093,1644,1655,2448,1965,2818,3023,2710,3241,4879,3356,1897,7715,10135
IL27,198,6,10,572,138,16,16,872,1066,68,34,3033,425,41,61,2940
NUPR1,5,1,57,1268,8,0,10,1629,19,1,3,442,38,5,197,10500
SGF29,821,383,456,351,1222,2028,628,1312,1464,1789,1311,2275,1526,1779,1951,2202
SULT1A2,0,3,5,7,1,15,7,12,7,12,17,2,2,9,15,18
SULT1A1,194,124,258,92,181,408,414,253,387,796,790,430,294,430,643,478
NPIPB8,0,0,1,0,2,6,0,3,0,7,7,3,8,5,1,5
EIF3C,364,71,116,99,628,351,127,163,656,283,131,229,607,387,357,258
NPIPB9,0,0,0,0,2,5,1,0,2,16,0,1,8,1,0,4
ATXN2L,14227,6447,5994,5318,20897,30715,6667,19675,31917,36991,13078,24667,29008,30700,25377,25023
TUFM,9892,1889,2386,1594,17387,8286,2821,3992,21894,8213,5170,6991,20416,9191,8343,6404
SH2B1,2520,2144,2066,1495,3692,10389,3305,6100,5262,10621,5156,6359,5285,7821,8336,6624
ATP2A1,138,73,55,43,170,138,50,102,191,181,113,117,183,160,137,106
ATP2A1-AS1,54,0,4,4,92,42,14,22,68,18,24,12,124,27,20,15
RABEP2,1210,651,671,634,1977,3136,896,1914,2630,3466,1511,2607,2734,3185,2518,2632
CD19,607,548,295,288,1325,2963,529,1153,1564,3448,906,1636,2237,4346,1831,2412
NFATC2IP,3248,1888,1999,1714,5152,8037,2696,5852,7602,10211,4244,6826,7005,8098,6188,6979
NFATC2IP-AS1,720,473,500,406,1298,2089,698,1541,1606,2629,949,1364,1510,1939,1516,1607
SPNS1,2083,1267,1734,1378,2183,3491,1713,2703,4053,4504,2982,3788,3544,3957,5899,4559
LAT,8729,3028,3516,2664,14823,15677,4464,8293,21183,18926,11547,11874,23903,15272,13285,11022
NPIPB11,14,16,19,21,20,65,15,18,64,148,55,43,124,147,140,89
BOLA2,266,93,110,66,451,381,109,236,879,441,268,539,517,407,368,325
SLX1B,2,6,12,2,0,15,0,0,8,15,4,7,6,10,9,9
SULT1A4,2,0,0,0,4,1,4,3,3,16,2,8,1,4,2,2
NPIPB12,2,4,25,2,15,21,12,24,24,49,9,6,20,42,40,25
SPN,4349,1810,3146,2043,6896,8982,4676,5837,8737,10020,5977,9108,11578,7637,7573,9447
QPRT,157,40,86,44,251,181,110,155,313,249,153,248,338,224,198,272
C16orf54,781,616,1246,756,1145,3886,2284,2949,1513,3648,2985,2878,1922,3183,4010,3288
ZG16,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2
KIF22,1935,876,1111,682,3335,3991,1411,2302,4322,3534,2438,2640,4701,3770,3409,2862
MAZ,9954,3484,5087,2888,15605,13954,5880,7933,18130,12980,8173,9437,20935,13041,15870,11321
MVP-DT,5152,1851,2709,1448,8582,7976,2963,4296,10198,7420,4537,5629,11934,7467,8782,6657
PRRT2,235,216,94,209,195,298,176,400,240,504,213,588,314,317,212,372
PAGR1,1674,676,1095,514,2921,2947,1211,1474,3485,2748,1699,2383,4503,2998,3793,2586
MVP,9580,5753,3781,5786,15737,19589,5013,15966,26794,22825,12499,30771,27820,23873,19103,27436
CDIPT,1653,908,1271,1014,2539,4100,1651,2327,3437,4076,2624,4050,3554,3926,4624,4002
SEZ6L2,399,240,208,248,246,42,230,247,30,94,176,96,30,52,44,52
ASPHD1,123,26,46,24,70,24,36,27,62,62,24,57,69,25,45,44
KCTD13,1001,637,611,482,1392,2261,933,1537,2019,3237,1327,1951,1803,2411,2354,1958
KCTD13-DT,4,18,8,14,23,21,4,16,18,39,23,31,21,32,37,26
TMEM219,906,527,1085,1152,1140,2396,1333,2022,2006,2581,2721,3997,2369,2584,4075,5525
TAOK2,3052,1950,2026,1549,4707,7485,2757,4299,6464,7378,3656,5043,6693,7157,7191,6588
HIRIP3,1155,291,279,230,2480,1174,404,575,2565,1252,564,912,2932,1308,1156,1022
INO80E,2688,1455,1813,1104,4470,7952,2383,4482,5690,7895,4001,4894,6246,7127,7114,5233
DOC2A,415,149,234,171,623,723,268,488,740,653,456,562,846,686,736,499
C16orf92,0,0,0,0,0,0,0,5,1,0,1,1,0,0,4,2
TLCD3B,140,86,50,72,50,26,78,52,15,54,94,24,9,7,22,36
ALDOA,27045,8173,11056,9136,44571,24211,11522,15242,63035,29371,27522,30777,62946,40413,50146,41777
PPP4C,4318,1841,2079,1796,6463,6178,2312,3914,9690,6211,5184,7487,9215,8169,8358,8479
TBX6,46,22,54,10,28,177,64,101,85,181,92,54,56,56,119,45
YPEL3,1801,2704,3963,2015,1968,16686,6668,9045,2151,14292,11153,7220,2638,9000,12118,6819
YPEL3-DT,18,8,0,4,14,18,4,14,14,20,24,17,43,42,10,16
GDPD3,55,107,162,29,107,494,210,309,157,632,411,229,120,350,449,242
MAPK3,1123,715,1053,676,1513,2589,1214,1549,2465,3161,2131,1952,2082,2938,3523,2299
CORO1A,24370,8322,10702,6040,51765,38802,17363,20100,72230,45456,27418,32489,67826,43245,38159,25478
CORO1A-AS1,1822,791,928,551,3770,3006,1418,1673,5593,3873,2035,2610,4962,3573,3125,2177
BOLA2B,38,12,16,0,58,25,5,22,53,26,28,38,36,27,29,8
SLX1A,40,40,50,10,68,153,37,106,105,129,99,74,70,105,112,84
SULT1A3,7,6,14,4,7,36,9,24,15,33,18,0,23,14,22,17
NPIPB13,2,0,10,4,14,13,2,8,6,26,28,10,13,14,8,13
CD2BP2,3285,1752,1723,1667,5424,7525,2303,4404,7739,6582,4236,7421,7536,7406,6443,7282
CD2BP2-DT,32,16,11,27,62,47,45,62,115,38,51,140,131,73,121,96
TBC1D10B,2923,1315,1686,1391,4734,5671,1915,3293,7257,6130,4185,6342,6783,6652,6900,7206
MYL11,14,3,14,1,24,30,6,7,9,15,35,4,11,36,23,9
ZNF48,1388,453,630,347,2119,2701,848,1268,3205,2978,1831,1767,2877,2398,2098,1614
SEPTIN1,4364,2079,2539,1444,7635,10495,3220,4997,9811,9802,6077,5453,10287,9113,8049,5797
ZNF771,982,203,168,210,1514,593,165,215,2257,723,516,722,1928,770,537,438
DCTPP1,2432,326,286,256,4546,1205,308,635,5948,1550,977,1973,5454,1910,1088,1060
SEPHS2,2454,1246,1576,1064,6221,5093,1804,2505,6363,4512,2651,4939,5750,4964,5060,4082
ITGAL,17178,5548,8203,6121,28565,26823,12537,17430,38590,29060,15209,22394,51200,31205,24334,25132
ZNF768,623,390,446,324,796,1467,490,592,1161,1480,902,1021,885,1593,2168,1275
ZNF747,627,319,306,229,1221,952,412,644,1595,1211,768,1139,1374,1323,1362,1117
ZNF747-DT,71,68,82,35,209,262,73,131,194,171,148,191,255,270,304,209
ZNF764,727,454,585,358,1257,1468,573,965,1910,1678,895,1746,1469,1612,1678,1469
ZNF688,406,284,293,214,494,1098,340,777,823,1142,910,1410,762,1086,1154,995
ZNF785,366,193,336,132,406,919,367,524,607,1108,535,794,650,842,925,734
ZNF689,669,295,385,346,1062,1120,499,683,1444,1237,770,1255,1537,1395,1273,1202
PRR14,2647,1346,1320,1064,4300,6908,1780,3983,6025,7204,3538,4729,5479,6756,6544,5605
FBRS,10745,5842,5189,4317,15969,24969,5640,13441,27138,29752,10805,19938,22960,31816,24734,26665
SRCAP,12919,6159,6669,4828,18100,23782,7368,14995,29527,37000,11520,25062,24473,27861,23766,25211
TMEM265,205,141,137,93,315,507,209,397,562,720,304,581,400,626,502,471
PHKG2,814,608,754,589,1436,2533,1004,1556,2002,2617,1734,1795,2051,2545,2654,1952
CFAP119,45,49,74,42,105,194,51,128,107,152,168,107,137,340,260,163
RNF40,4547,2171,2558,2006,7364,7796,2830,4738,10147,8445,4223,7762,9533,9495,9716,9004
ZNF629,755,266,358,318,812,776,403,683,1566,1345,606,1143,1311,1518,1463,1618
BCL7C,1314,550,845,428,2502,2621,937,1185,3317,2212,2432,2494,2950,2560,2617,1946
MIR762HG,376,162,222,109,674,782,288,347,964,746,809,751,818,794,848,601
CTF1,2,2,4,4,0,10,8,25,4,24,4,26,16,10,23,23
FBXL19-AS1,126,49,77,33,188,218,67,188,200,260,97,187,211,239,187,166
FBXL19,1600,727,618,468,2334,2293,997,1225,3608,2843,1424,1904,3299,2572,2722,2138
ORAI3,248,220,450,303,330,916,527,585,492,848,804,755,758,1073,1802,1094
SETD1A,4053,1649,2121,1248,6101,7698,2355,4333,8258,9093,3624,6200,7847,8031,7489,6487
HSD3B7,1066,40,733,484,830,130,189,669,1135,165,378,675,2424,129,2106,3134
STX1B,288,282,148,280,324,200,250,228,90,218,200,128,137,129,181,138
STX4,2747,1525,1937,1553,3551,5871,1873,4404,4809,5074,2921,5488,5589,5269,7238,7573
ZNF668,553,154,316,143,840,581,322,381,1193,790,494,746,1188,804,1076,824
ZNF646,2301,1240,1620,1354,2886,5352,1992,3538,4680,5312,2677,5401,4971,5906,6070,7504
PRSS53,349,223,261,148,413,1057,362,641,652,1284,683,633,792,905,971,587
VKORC1,904,345,630,535,1769,1663,776,994,2589,1764,1525,1848,2393,1611,2715,1892
BCKDK,1359,506,1139,639,2230,1490,984,1116,3615,1940,2183,2155,3566,2326,4609,3184
KAT8,1752,943,1191,823,3107,3770,1498,2509,3558,3718,2612,3212,3551,4050,4159,3266
PRSS8,0,0,10,0,0,0,2,0,12,8,15,3,2,0,3,2
PRSS36,30,14,74,0,26,40,97,28,24,41,65,28,40,42,263,59
FUS,18971,6476,6133,5464,29338,17411,7075,18362,39783,24553,11416,21891,38034,26265,23097,26453
PYCARD,270,137,443,211,276,513,699,530,512,641,883,824,601,472,1718,1031
PYCARD-AS1,109,67,188,108,132,196,328,246,251,289,364,378,238,213,655,472
TRIM72,0,6,2,2,7,10,3,0,10,6,3,0,5,9,13,7
PYDC1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ITGAM,2396,76,698,146,2939,872,1091,500,2482,568,2133,471,5740,432,1647,726
ITGAX,6179,1023,5000,3384,6598,1763,2564,4594,11944,3871,14220,7811,16747,3814,19067,16065
ITGAD,9,4,13,4,6,0,4,1,1,0,11,1,28,2,30,16
COX6A2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
ZNF843,16,0,3,4,0,14,12,4,8,2,3,8,12,16,17,12
ARMC5,918,316,323,273,1429,1081,411,732,2224,1347,726,1263,1896,1399,1304,1374
TGFB1I1,42,16,18,20,41,24,26,31,22,26,28,41,71,71,39,46
SLC5A2,893,597,675,475,1491,2566,930,1744,2362,2845,1748,2245,2618,2815,3070,2498
RUSF1,1774,1206,1345,993,2894,4925,1813,3395,4381,5256,3195,4168,4728,5244,5575,4540
RUSF1-DT,0,4,0,0,2,8,10,8,14,8,4,5,12,10,5,11
AHSP,0,0,0,0,0,2,0,0,0,0,8,2,0,0,0,2
LINC02190,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
KRBOX5,641,300,265,310,1029,1015,335,706,1159,1026,485,1027,1114,1122,857,925
ZNF267,4001,1748,1124,2801,5632,6522,760,3687,8473,5531,2577,9270,8856,8523,4834,10668
IGHV1OR16-1,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0
IGHV1OR16-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-9,2,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0
TP53TG3D,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
TP53TG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV2OR16-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
IGHV3OR16-6,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,2
IGHV1OR16-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
IGHV3OR16-10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
IGHV1OR16-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-8,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0
TP53TG3C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53TG3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53TG3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53TG3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-13,0,0,0,0,0,2,0,0,0,4,0,4,1,0,3,6
IGHV3OR16-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2
IGHV3OR16-11,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0
IGHV3OR16-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHCBP1,198,18,32,16,647,46,20,31,514,46,27,50,854,111,86,69
VPS35,3500,1370,1947,1414,5252,4519,2283,2631,7010,4429,2576,4868,7348,5906,6426,5869
ORC6,405,40,32,30,1084,104,42,68,1107,146,63,89,1254,203,118,96
MYLK3,0,8,0,0,21,4,2,6,4,14,12,27,7,8,4,14
C16orf87,310,107,166,135,481,453,133,220,619,392,221,323,582,589,626,464
GPT2,610,144,79,150,605,444,124,197,851,378,149,413,746,532,280,254
DNAJA2,3783,1485,1284,1401,5935,4844,1567,2711,6757,3940,2412,4439,7562,5561,4370,4793
DNAJA2-DT,0,4,0,0,6,8,5,4,9,1,2,5,12,13,3,16
NETO2,943,207,276,202,1551,443,270,301,2019,635,293,662,1604,974,1046,637
ITFG1-AS1,58,21,22,35,93,73,46,70,142,78,74,129,135,111,140,156
ITFG1,657,421,542,463,1015,1171,605,743,1534,1070,805,1497,1567,1451,1854,1870
PHKB,990,757,1172,795,1733,2659,1613,1849,2304,2780,1687,3357,2719,2999,4323,3384
LINC02133,0,0,0,0,0,0,0,2,0,3,8,2,2,0,0,0
LINC02192,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
LINC02134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
ABCC11,186,84,86,57,366,251,137,193,450,328,162,286,389,287,294,226
LONP2,3222,1401,1911,1297,5044,5036,2469,3113,6350,5218,2526,3767,6446,6175,6034,5025
SIAH1,679,392,559,415,760,1196,634,716,1167,1054,752,889,1142,1450,1501,1519
N4BP1,7051,4551,2833,6408,8034,13174,2356,14173,15404,16685,6618,24446,16128,18360,12222,29464
CBLN1,56,56,2,64,14,0,38,16,0,6,20,4,2,2,8,12
C16orf78,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LINC02179,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ZNF423,98,47,46,108,54,8,28,52,8,8,60,12,8,0,18,6
CNEP1R1,542,321,398,341,787,825,453,690,1093,952,755,1071,958,1161,1219,1423
HEATR3-AS1,54,24,37,27,110,86,59,57,157,100,61,65,157,61,103,86
HEATR3,794,303,506,237,1557,1204,734,733,1639,1059,651,941,1752,1061,1425,1017
TENT4B,1485,696,812,769,2310,2228,839,1613,2734,2184,930,1945,3288,3057,2737,3459
ADCY7,5947,3635,7697,5494,7343,12507,9200,11813,12414,11742,7506,12186,13961,11219,20773,28375
BRD7,5768,3205,4853,3737,7459,11112,5610,8383,10769,9719,5844,10210,12273,10961,13863,18119
LINC02178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKD1,411,408,722,401,228,952,478,905,412,1384,633,712,682,1232,1502,1626
SNX20,2846,1532,1761,2313,3751,6783,2115,5964,7328,7306,3816,11809,6543,6784,5975,9914
NOD2,908,387,474,891,890,824,501,1753,2737,1346,786,4678,1336,1613,1819,4866
CYLD-AS1,548,299,242,344,661,990,216,977,1147,1195,458,1791,1030,1241,837,1429
CYLD,11198,5898,5105,5378,13319,20666,5353,13203,18861,22206,10036,21587,17867,22812,14637,19665
LINC02168,0,0,0,2,1,0,0,0,1,6,1,2,2,0,0,2
LINC02128,0,0,0,0,0,0,0,0,0,4,0,8,2,0,0,0
LINC02127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SALL1,169,124,46,154,94,16,120,56,18,24,58,32,6,8,30,20
HNRNPA1L3,143,50,64,76,267,136,38,90,298,145,96,131,264,142,145,99
LINC01571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02911,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
LINC00919,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOX3,24,20,8,50,18,6,14,18,10,8,28,14,0,0,4,6
CASC16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHD9,1371,961,1181,774,1654,2898,1514,1392,2404,3310,1117,2313,2514,3147,3205,3039
RBL2,3655,3859,5944,2660,6347,16552,7475,6776,6754,16179,9731,9337,8063,14288,14715,10853
AKTIP,620,593,767,364,1224,1885,1000,790,1372,2031,1249,1165,1405,1732,1660,1393
RPGRIP1L,210,116,76,57,400,304,79,154,420,257,108,122,357,275,118,177
FTO,832,392,487,286,1764,1941,677,741,1930,1696,838,1161,1925,1636,1556,1088
LINC02169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRX3,0,0,2,12,6,0,10,4,6,0,2,0,0,0,2,0
LINC02140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNDE,12,6,27,2,18,18,8,6,26,16,2,9,22,25,29,20
IRX5,4,8,0,0,0,0,0,2,2,0,0,0,4,6,4,2
IRX6,0,0,0,0,2,0,0,3,0,2,0,0,2,4,4,0
MMP2,92,369,290,172,66,20,76,68,42,78,80,72,53,361,891,752
MMP2-AS1,41,22,32,34,39,13,27,40,16,13,115,64,17,23,118,35
LPCAT2,205,16,624,235,184,22,469,468,511,55,348,557,545,154,2159,1833
CAPNS2,8,0,0,0,0,0,0,0,0,0,0,2,4,0,4,19
SLC6A2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
CES1,1230,1111,991,929,252,180,54,222,1884,1241,919,2610,2067,1932,2338,3259
CES5A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GNAO1-DT,0,1,4,0,3,8,4,2,0,8,22,2,0,14,3,11
GNAO1,1292,1024,810,1066,943,1594,1168,1229,281,1261,1023,678,422,734,941,613
GNAO1-AS1,61,40,31,41,22,23,53,24,9,24,10,14,17,13,19,8
AMFR,1915,1338,1544,1223,2626,4905,1659,2430,3745,3990,2829,4267,4125,5800,5494,5269
NUDT21,4274,1355,1371,1222,6965,5256,1723,2578,7843,4892,2861,4481,8472,5982,4779,4324
OGFOD1,2208,612,656,548,3641,2528,770,1190,4042,2240,1161,2373,4561,3478,2455,2444
BBS2,764,679,882,562,1203,3123,1316,1760,1557,2870,1747,1736,1678,3046,2641,2356
MT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT3,90,128,111,132,64,10,46,60,26,22,63,33,4,30,31,6
MT2A,4987,4472,416,3602,9532,11599,560,12606,30764,18366,12837,38683,14560,24952,18007,21590
MT1E,184,354,34,52,972,699,34,222,2424,1179,991,2316,1016,2069,1495,422
MT1M,104,574,13,8,160,619,11,67,2977,1327,973,3271,253,2771,1828,282
MT1A,0,55,0,1,5,77,0,0,205,106,39,104,12,449,305,4
MT1B,0,9,0,1,0,22,5,1,56,22,5,28,1,102,101,0
